,D1,D2,D3
T0740,30,30,30
T0741,30,30,30
T0742,30,30,30
T0743,30,30,30
T0744,30,30,30
T0745,30,30,30
T0746,30,30,30
T0747,30,30,30
T0748,30,30,30
T0749,30,30,30
T0750,30,30,30
T0751,30,30,30
T0752,30,30,30
T0753,30,30,30
T0754,30,30,30
T0755,30,30,30
T0756,30,30,30
T0757,30,30,30
T0758,30,30,30
T0759,30,30,30
T0760,30,30,30
T0761,30,30,30
T0762,30,30,30
T0763,30,30,30
T0764,30,30,30
T0765,30,30,30
T0766,30,30,30
T0767,30,30,30
T0768,30,30,30
T0769,30,30,30
T0770,30,30,30
T0771,30,30,30
T0772,30,30,30
T0773,30,30,30
T0774,30,30,30
T0775,30,30,30
T0776,30,30,30
T0777,30,30,30
T0778,30,30,30
T0779,30,30,30
T0780,30,30,30
T0781,30,30,30
T0782,30,30,30
T0783,30,30,30
T0784,30,30,30
T0785,30,30,30
T0786,30,30,30
T0787,30,30,30
T0788,30,30,30
T0789,30,30,30
T0790,30,30,30
T0791,30,30,30
T0792,30,30,30
T0793,30,30,30
T0794,30,30,30
T0795,30,30,30
T0796,30,30,30
T0797,30,30,30
T0798,30,30,30
T0799,30,30,30
T0800,30,30,30
T0801,30,30,30
T0802,30,30,30
T0803,30,30,30
T0804,30,30,30
T0805,30,30,30
T0806,30,30,30
T0807,30,30,30
T0808,30,30,30
T0809,30,30,30
T0810,30,30,30
T0811,30,30,30
T0812,30,30,30
T0813,30,30,30
T0814,30,30,30
T0815,30,30,30
T0816,30,30,30
T0817,30,30,30
T0818,30,30,30
T0819,30,30,30
T0820,30,30,30
T0821,30,30,30
T0822,30,30,30
T0823,30,30,30
T0824,30,30,30
T0825,30,30,30
T0826,30,30,30
T0827,30,30,30
T0828,30,30,30
T0829,30,30,30
T0830,30,30,30
T0831,30,30,30
T0832,30,30,30
T0833,30,30,30
T0834,30,30,30
T0835,30,30,30
T0836,30,30,30
T0837,30,30,30
T0838,30,30,30
T0839,30,30,30
T0840,30,30,30
T0841,30,30,30
T0842,30,30,30
T0843,30,30,30
T0844,30,30,30
T0845,30,30,30
T0846,30,30,30
T0847,30,30,30
T0848,30,30,30
T0849,30,30,30
T0850,30,30,30
T0851,30,30,30
T0852,30,30,30
T0853,30,30,30
T0854,30,30,30
T0855,30,30,30
T0856,30,30,30
T0857,30,30,30
T0858,30,30,30
