,D1,D2,D3
T6543,3.4573387868612,4.15210442961362,5.66458149777054
T6544,3.45716122933646,4.15187491185954,5.66418836550259
T6545,3.45698361401091,4.15164532119064,5.66379511945283
T6546,3.45680594099963,4.15141565775736,5.66340175988908
T6547,3.45662821041782,4.15118592171038,5.66300828707948
T6548,3.45645042238068,4.15095611320032,5.66261470129207
T6549,3.45627257700346,4.15072623237789,5.662221002795
T6550,3.45609467440127,4.15049627939359,5.66182719185607
T6551,3.4559167146893,4.15026625439805,5.66143326874325
T6552,3.45573869798283,4.15003615754198,5.6610392337246
T6553,3.45556062439695,4.14980598897586,5.66064508706781
T6554,3.4553824940469,4.14957574885036,5.66025082904084
T6555,3.45520430704785,4.14934543731603,5.65985645991142
T6556,3.45502606351498,4.14911505452347,5.65946197994731
T6557,3.4548477635636,4.14888460062341,5.65906738941651
T6558,3.45466940730872,4.1486540757662,5.65867268858635
T6559,3.45449099486568,4.14842348010264,5.65827787772483
T6560,3.4543125263496,4.14819281378317,5.65788295709941
T6561,3.45413400187563,4.14796207695835,5.65748792697764
T6562,3.45395542155905,4.14773126977884,5.65709278762726
T6563,3.45377678551501,4.14750039239515,5.65669753931571
T6564,3.45359809385871,4.14726944495786,5.65630218231053
T6565,3.45341934670529,4.14703842761746,5.65590671687907
T6566,3.45324054416999,4.14680734052455,5.65551114328887
T6567,3.45306168636802,4.14657618382972,5.65511546180738
T6568,3.45288277341451,4.14634495768343,5.65471967270183
T6569,3.45270380542461,4.14611366223615,5.65432377623946
T6570,3.45252478251363,4.14588229763859,5.65392777268783
T6571,3.45234570479662,4.14565086404107,5.65353166231387
T6572,3.45216657238884,4.14541936159423,5.65313544538497
T6573,3.45198738540545,4.14518779044854,5.65273912216828
T6574,3.45180814396157,4.14495615075443,5.65234269293078
T6575,3.45162884817244,4.14472444266247,5.65194615793971
T6576,3.45144949815322,4.14449266632314,5.6515495174621
T6577,3.45127009401909,4.14426082188692,5.65115277176496
T6578,3.45109063588523,4.14402890950429,5.6507559211153
T6579,3.45091112386673,4.14379692932562,5.65035896577985
T6580,3.45073155807876,4.1435648815014,5.64996190602558
T6581,3.45055193863658,4.14333276618217,5.64956474211953
T6582,3.45037226565531,4.14310058351835,5.64916747432842
T6583,3.45019253925006,4.14286833366029,5.64877010291891
T6584,3.45001275953603,4.14263601675847,5.64837262815782
T6585,3.44983292662835,4.14240363296332,5.64797505031185
T6586,3.44965304064209,4.14217118242512,5.64757736964743
T6587,3.44947310169251,4.14193866529444,5.64717958643145
T6588,3.44929310989474,4.14170608172163,5.64678170093042
T6589,3.44911306536384,4.141473431857,5.64638371341071
T6590,3.44893296821498,4.14124071585097,5.64598562413888
T6591,3.44875281856332,4.14100793385392,5.64558743338141
T6592,3.44857261652395,4.1407750860162,5.64518914140465
T6593,3.44839236221206,4.1405421724882,5.64479074847505
T6594,3.44821205574273,4.14030919342023,5.64439225485885
T6595,3.44803169723099,4.14007614896252,5.64399366082214
